Key;Flow Name;Producer Model;Producer port;Producer operator;Signal Name;Consumer Model;Consumer port;Consumer Operator;Priority;Automatic Choice Available;Automatic Choice;Manual Choice;Comment
EIU/2/ATHR_Inop;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FGE/1;OUT_BATHINOP;;OUT_BATHINOP;EIU/2;ATHR_Inop;;2;Connection Over Empty;X;;
EIU/2/EEC_A_LABEL272_BIT12;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_A_LABEL272_BIT12;EIU/2;EEC_A_LABEL272_BIT12;;1;Connection Over Empty;;;
EIU/2/EEC_A_LABEL272_BIT12;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/2;EEC_LBL272_PCN1REDEXCAS_A;;FADEC_2_EEC_LBL272_PCN1REDEXCAS_A;EIU/2;EEC_A_LABEL272_BIT12;;2;Connection Over Empty;X;;
EIU/2/EEC_A_PS3_Sel;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_A_PS3_Sel;EIU/2;EEC_A_PS3_Sel;;1;Connection Over Empty;;;
EIU/2/EEC_A_PS3_Sel;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/2;EEC_LBL264_PS3SEL_A;;FADEC_2_EEC_LBL264_PS3SEL_A;EIU/2;EEC_A_PS3_Sel;;2;Connection Over Empty;X;;
EIU/2/EEC_B_LABEL272_BIT12;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_B_LABEL272_BIT12;EIU/2;EEC_B_LABEL272_BIT12;;1;Connection Over Empty;;;
EIU/2/EEC_B_LABEL272_BIT12;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/2;EEC_LBL272_PCN1REDEXCAS_B;;FADEC_2_EEC_LBL272_PCN1REDEXCAS_B;EIU/2;EEC_B_LABEL272_BIT12;;2;Connection Over Empty;X;;
EIU/2/EEC_B_PS3_Sel;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;EEC_B_PS3_Sel;EIU/2;EEC_B_PS3_Sel;;1;Connection Over Empty;;;
EIU/2/EEC_B_PS3_Sel;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;FADEC/2;EEC_LBL264_PS3SEL_B;;FADEC_2_EEC_LBL264_PS3SEL_B;EIU/2;EEC_B_PS3_Sel;;2;Connection Over Empty;X;;
EIU/2/Engine1_Inlet_Precooler_Press1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine1_Inlet_Precooler_Press1;EIU/2;Engine1_Inlet_Precooler_Press1;;1;Connection Over Empty;;;
EIU/2/Engine1_Inlet_Precooler_Press1;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/1;ARO_LH_BPS_psig;;ARO_LH_BPS_psig_BMC_1;EIU/2;Engine1_Inlet_Precooler_Press1;Psi_To_mBar;2;Connection Over Empty;X;;
EIU/2/Engine1_Inlet_Precooler_Press2;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine1_Inlet_Precooler_Press2;EIU/2;Engine1_Inlet_Precooler_Press2;;1;Connection Over Empty;;;
EIU/2/Engine1_Inlet_Precooler_Press2;ALL-SIMU_FLOW_MSP_CFM_V5.0.csv;BMC/2;ARO_LH_BPS_psig;;ARO_LH_BPS_psig_BMC_2;EIU/2;Engine1_Inlet_Precooler_Press2;Psi_To_mBar;2;Connection Over Empty;X;;
EIU/2/Engine1_Running1;ALL-SIMU_FLOW_ENG_FFS1_reduced.csv;;;;Engine1_Running1;EIU/2;Engine1_Running1;;1;Connection Over Empty;;;
